"file_id";"problem_id";"file_type";"filename";"saved_as";"file_small"
"186";"362";"image/jpeg";"Gabijos gimnazijos stadiono apsvietimas 3.jpg";"3621_Gabijos gimnazijos stadiono apsvietimas 3.jpg";"3621_Gabijos gimnazijos stadiono apsvietimas 3.jpg.small337"
"188";"373";"application/pdf";"Zemelapis.pdf";"37340_Zemelapis.pdf";
"207";"420";"image/jpeg";"Nuotrauka Gabijos g. 2 (1).jpg";"420359_Nuotrauka Gabijos g. 2 (1).jpg";"420359_Nuotrauka Gabijos g. 2 (1).jpg.small382"
"208";"420";"image/jpeg";"Nuotrauka Gabijos g. 2 (2).jpg";"420634_Nuotrauka Gabijos g. 2 (2).jpg";"420634_Nuotrauka Gabijos g. 2 (2).jpg.small944"
"209";"420";"image/jpeg";"Nuotrauka Gabijos g. 2 (3).jpg";"420293_Nuotrauka Gabijos g. 2 (3).jpg";"420293_Nuotrauka Gabijos g. 2 (3).jpg.small635"
"210";"420";"image/jpeg";"Nuotrauka Gabijos g. 2 (4).jpg";"420630_Nuotrauka Gabijos g. 2 (4).jpg";"420630_Nuotrauka Gabijos g. 2 (4).jpg.small676"
"211";"420";"image/jpeg";"Nuotrauka Gabijos g. 2 (5).jpg";"42048_Nuotrauka Gabijos g. 2 (5).jpg";"42048_Nuotrauka Gabijos g. 2 (5).jpg.small731"
"212";"421";"image/jpeg";"177703_4116277707308_2144702688_o.jpg";"421716_177703_4116277707308_2144702688_o.jpg";"421716_177703_4116277707308_2144702688_o.jpg.small86"
"214";"425";"image/jpeg";"siÅ«lymas-rygos-g.jpg";"425569_siÅ«lymas-rygos-g.jpg";"425569_siÅ«lymas-rygos-g.jpg.small690"
"215";"427";"image/jpeg";"Gabijos gimnazijos stadionas (1).jpg";"42778_Gabijos gimnazijos stadionas (1).jpg";"42778_Gabijos gimnazijos stadionas (1).jpg.small973"
"216";"427";"image/jpeg";"Gabijos gimnazijos stadionas (2).jpg";"427509_Gabijos gimnazijos stadionas (2).jpg";"427509_Gabijos gimnazijos stadionas (2).jpg.small924"
"217";"427";"image/jpeg";"Gabijos gimnazijos stadionas (3).jpg";"427257_Gabijos gimnazijos stadionas (3).jpg";"427257_Gabijos gimnazijos stadionas (3).jpg.small473"
"218";"427";"image/jpeg";"Gabijos gimnazijos stadionas (4).jpg";"427913_Gabijos gimnazijos stadionas (4).jpg";"427913_Gabijos gimnazijos stadionas (4).jpg.small795"
"219";"430";"image/pjpeg";"IMG_0575.JPG";"430736_IMG_0575.JPG";
"221";"434";"image/jpeg";"Taikos 263A-F.jpg";"434588_Taikos 263A-F.jpg";"434588_Taikos 263A-F.jpg.small315"
"286";"473";"image/png";"telefono_nuotrauka.png";"47327_telefono_nuotrauka.png";
"287";"473";"image/png";"telefono_nuotrauka.png";"473452_telefono_nuotrauka.png";
"328";"490";"image/jpeg";"LaisvÄ—s pr..JPG";"490812_LaisvÄ—s pr..JPG";"490812_LaisvÄ—s pr..JPG.small556"
"385";"545";"image/jpeg";"1.JPG";"545627_1.JPG";"545627_1.JPG.small257"
"386";"545";"image/jpeg";"2.JPG";"545946_2.JPG";"545946_2.JPG.small550"
"434";"596";"application/msword";"Duonos kalno gatves problemos.doc";"59665_Duonos kalno gatves problemos.doc";
"435";"600";"image/png";"telefono_nuotrauka.png";"600583_telefono_nuotrauka.png";
"436";"603";"image/png";"telefono_nuotrauka.png";"603672_telefono_nuotrauka.png";"603672_telefono_nuotrauka.png.small880"
"445";"620";"image/jpeg";"DSCF3026.JPG";"62029_DSCF3026.JPG";
"446";"620";"image/jpeg";"DSCF3027.JPG";"620354_DSCF3027.JPG";
"447";"620";"image/jpeg";"DSCF3028.JPG";"620151_DSCF3028.JPG";
"448";"620";"image/jpeg";"DSCF3030.JPG";"620399_DSCF3030.JPG";
"449";"623";"image/jpeg";"medis berzas 002.jpg";"623670_medis berzas 002.jpg";"623670_medis berzas 002.jpg.small287"
"450";"623";"image/jpeg";"medis berzas 004.jpg";"62326_medis berzas 004.jpg";"62326_medis berzas 004.jpg.small422"
"451";"623";"image/jpeg";"medis berzas 005.jpg";"623179_medis berzas 005.jpg";"623179_medis berzas 005.jpg.small710"
"452";"624";"image/jpeg";"100_5048.JPG";"624467_100_5048.JPG";"624467_100_5048.JPG.small892"
"453";"624";"image/jpeg";"100_5049.JPG";"624138_100_5049.JPG";"624138_100_5049.JPG.small370"
"454";"624";"image/jpeg";"100_5050.JPG";"624350_100_5050.JPG";"624350_100_5050.JPG.small249"
"455";"624";"image/jpeg";"100_5051.JPG";"62429_100_5051.JPG";"62429_100_5051.JPG.small189"
"456";"642";"image/pjpeg";"Clipboard01.jpg";"642728_Clipboard01.jpg";"642728_Clipboard01.jpg.small274"
"458";"651";"image/jpeg";"20120813_191841.jpg";"651943_20120813_191841.jpg";
"459";"651";"image/jpeg";"20120813_191503.jpg";"651858_20120813_191503.jpg";
"460";"652";"application/x-empty";"telefono_nuotrauka.x-empty";"652311_telefono_nuotrauka.x-empty";
"461";"653";"image/pjpeg";"2012-08-13 19.11.48.jpg";"653894_2012-08-13 19.11.48.jpg";
"462";"667";"image/pjpeg";"Gvazdiku sodu 1 oji g nr. 1 neteisetos statybos 16.jpg";"667367_Gvazdiku sodu 1 oji g nr. 1 neteisetos statybos 16.jpg";
"463";"667";"image/pjpeg";"Gvazdiku sodu 1 oji g nr. 1 neteisetos statybos 17.jpg";"667668_Gvazdiku sodu 1 oji g nr. 1 neteisetos statybos 17.jpg";
"464";"673";"image/jpeg";"2012-08-16-993.jpg";"673683_2012-08-16-993.jpg";"673683_2012-08-16-993.jpg.small333"
"465";"673";"image/jpeg";"2012-08-16-999.jpg";"673996_2012-08-16-999.jpg";"673996_2012-08-16-999.jpg.small209"
"466";"673";"image/jpeg";"2012-08-16-1001.jpg";"673289_2012-08-16-1001.jpg";"673289_2012-08-16-1001.jpg.small341"
"467";"673";"image/jpeg";"2012-08-16-1002.jpg";"673476_2012-08-16-1002.jpg";"673476_2012-08-16-1002.jpg.small499"
"468";"673";"image/jpeg";"2012-08-16-991.jpg";"67348_2012-08-16-991.jpg";"67348_2012-08-16-991.jpg.small836"
"469";"693";"image/jpeg";"kelias.JPG";"693912_kelias.JPG";"693912_kelias.JPG.small502"
"470";"701";"image/jpeg";"puodziu g.jpg";"701672_puodziu g.jpg";
"471";"707";"image/jpeg";"untitled.JPG";"707819_untitled.JPG";"707819_untitled.JPG.small602"
"472";"707";"image/jpeg";"20120829059.jpg";"707301_20120829059.jpg";
"473";"707";"image/jpeg";"20120829060.jpg";"707718_20120829060.jpg";
"474";"707";"image/jpeg";"20120829061.jpg";"707915_20120829061.jpg";
"475";"722";"image/jpeg";"medziu genejimas.jpg";"722478_medziu genejimas.jpg";"722478_medziu genejimas.jpg.small647"
"476";"723";"image/jpeg";"IMG_0243.JPG";"723224_IMG_0243.JPG";"723224_IMG_0243.JPG.small101"
"477";"724";"image/jpeg";"0.jpg";"724967_0.jpg";
"478";"724";"image/jpeg";"1.1.jpg";"72432_1.1.jpg";
"479";"724";"image/jpeg";"1.jpg";"724761_1.jpg";
"480";"724";"image/jpeg";"2.2.jpg";"724200_2.2.jpg";
"481";"724";"image/jpeg";"2.jpg";"724662_2.jpg";
"482";"728";"image/jpeg";"1.JPG";"728504_1.JPG";
"483";"728";"image/jpeg";"2.JPG";"72822_2.JPG";
"484";"729";"image/jpeg";"3.JPG";"72960_3.JPG";
"485";"730";"image/jpeg";"DSC05310.JPG";"730683_DSC05310.JPG";"730683_DSC05310.JPG.small903"
"486";"731";"image/jpeg";"DSC05310.JPG";"731514_DSC05310.JPG";
"487";"737";"application/vnd.openxmlformats-officedocument.wordprocessingml.document";"Skundas del deginimo 2012 09 11_savivaldybei.docx";"73768_Skundas del deginimo 2012 09 11_savivaldybei.docx";
"488";"737";"image/pjpeg";"Kelmijos sodu 9-oji g. 13_05.JPG";"737763_Kelmijos sodu 9-oji g. 13_05.JPG";
"489";"737";"image/pjpeg";"Kelmijos sodu 9-oji g. 13_02.JPG";"737897_Kelmijos sodu 9-oji g. 13_02.JPG";
"490";"737";"image/pjpeg";"Kelmijos sodu 9-oji g. 13_08.JPG";"737724_Kelmijos sodu 9-oji g. 13_08.JPG";
